step,fvu,dead,mean_act,tokens_per_sec
50,0.54546,0,2.1339,1006
100,0.42055,0,1.7791,2778
150,0.35224,0,1.7233,3115
200,0.31418,0,1.6875,4013
250,0.28306,0,1.6557,2880
300,0.26385,0,1.6281,3659
350,0.24783,0,1.6100,3928
400,0.23485,0,1.5911,3191
450,0.22502,0,1.5759,2136
500,0.21390,0,1.5741,3646
550,0.20940,0,1.5704,3623
600,0.20002,0,1.5627,5184
650,0.19786,0,1.5558,4581
700,0.19036,0,1.5558,4211
750,0.18610,0,1.5571,5808
800,0.18154,0,1.5622,6153
850,0.17909,0,1.5551,3167
900,0.17717,0,1.5473,6851
950,0.17184,0,1.5565,6297
1000,0.16944,0,1.5501,5555
1050,0.16559,0,1.5540,5831
1100,0.16437,0,1.5601,7586
1150,0.16475,0,1.5494,3300
1200,0.15800,0,1.5554,2132
1250,0.15806,0,1.5503,2727
1300,0.15435,0,1.5604,2541
1350,0.15527,0,1.5514,1135
1400,0.15357,0,1.5548,2134
1450,0.15228,0,1.5586,1102
1500,0.15235,0,1.5570,1627
1550,0.14908,0,1.5552,1325
1600,0.14701,0,1.5543,2133
1650,0.14610,0,1.5633,2665
1700,0.14456,0,1.5646,5116
1750,0.14553,0,1.5585,4145
1800,0.14248,0,1.5735,4152
1850,0.13951,0,1.5697,5231
1900,0.14097,0,1.5635,4890
1950,0.13966,0,1.5642,4967
2000,0.13762,0,1.5780,4924
2050,0.13646,0,1.5728,5370
2100,0.13795,0,1.5761,3636
2150,0.13270,0,1.5766,3409
2200,0.13607,0,1.5855,2837
2250,0.13376,0,1.5794,3015
2300,0.13276,0,1.5803,1839
2350,0.13135,0,1.5847,1534
2400,0.13211,0,1.5843,2019
2450,0.13278,0,1.5822,4282
2500,0.13085,0,1.5797,4551
2550,0.13026,0,1.5939,2193
2600,0.12967,0,1.5841,2203
2650,0.12566,0,1.5861,1792
2700,0.12794,0,1.5919,4078
2750,0.12822,0,1.5896,4210
2800,0.12811,0,1.5878,4710
2850,0.12637,0,1.5974,5994
2900,0.12621,0,1.5977,5549
2950,0.12251,0,1.5993,5400
3000,0.12409,0,1.5998,8083
3050,0.12397,0,1.5898,6598
3100,0.12476,0,1.5953,7007
3150,0.12558,0,1.6063,8282
3200,0.12531,0,1.6011,4975
3250,0.12264,0,1.6052,3164
3300,0.12203,0,1.5962,2956
3350,0.12188,0,1.6005,2649
3400,0.12052,0,1.6128,2452
3450,0.11928,0,1.6059,3485
3500,0.12159,0,1.6020,5636
3550,0.11860,0,1.6143,3721
3600,0.12006,0,1.6043,5154
3650,0.12040,0,1.6103,4351
3700,0.11940,0,1.6091,1952
3750,0.11828,0,1.6091,2869
3800,0.11813,0,1.6060,4010
3850,0.11778,0,1.6125,3760
3900,0.11813,0,1.6015,5724
3950,0.11495,0,1.6070,6420
4000,0.11909,0,1.6121,6523
4050,0.11666,0,1.6082,6980
4100,0.11611,0,1.6146,6870
4150,0.11747,0,1.6137,6905
4200,0.11533,0,1.6103,6627
4250,0.11427,0,1.6192,8074
4300,0.11558,0,1.6148,8773
4350,0.11586,0,1.6209,8458
4400,0.11515,0,1.6150,8633
4450,0.11529,0,1.6207,9423
4500,0.11441,0,1.6279,6186
4550,0.11402,0,1.6245,7502
4600,0.11530,0,1.6174,9385
4650,0.11297,0,1.6218,8897
4700,0.11505,0,1.6260,9307
4750,0.11129,0,1.6269,9289
4800,0.11277,0,1.6210,7276
4850,0.11277,0,1.6312,10071
4900,0.11216,0,1.6307,10066
4950,0.11298,0,1.6219,9177
5000,0.11100,0,1.6180,8426
5050,0.11152,0,1.6248,9175
5100,0.11143,0,1.6262,9385
5150,0.11412,0,1.6345,9457
5200,0.11062,0,1.6339,9102
5250,0.11395,0,1.6209,8974
5300,0.11012,0,1.6266,9887
5350,0.11278,0,1.6173,10117
5400,0.11178,0,1.6317,10309
5450,0.10975,0,1.6324,7816
5500,0.11106,0,1.6276,9410
5550,0.11361,0,1.6297,6086
5600,0.11171,0,1.6307,7901
5650,0.11172,0,1.6321,6320
5700,0.11137,0,1.6320,9022
5750,0.11116,0,1.6296,9880
5800,0.11066,0,1.6329,9133
5850,0.10996,0,1.6339,7121
5900,0.10964,0,1.6350,6152
5950,0.10838,0,1.6394,6115
6000,0.10798,0,1.6361,5991
6050,0.10862,0,1.6376,7876
6100,0.10847,0,1.6389,8944
6150,0.10841,0,1.6318,8439
6200,0.10983,0,1.6459,8971
6250,0.10947,0,1.6395,9148
6300,0.10814,0,1.6437,9931
6350,0.10933,0,1.6351,10439
6400,0.10590,0,1.6427,9913
6450,0.10793,0,1.6419,10126
6500,0.10859,0,1.6437,11067
6550,0.10866,0,1.6392,11712
6600,0.10822,0,1.6417,11039
6650,0.10822,0,1.6375,11569
6700,0.10605,0,1.6449,6547
6750,0.10735,0,1.6394,10653
6800,0.10530,0,1.6431,11159
6850,0.10666,0,1.6417,11025
6900,0.10698,0,1.6449,11217
6950,0.10488,0,1.6446,11505
7000,0.10748,0,1.6438,10037
7050,0.10789,0,1.6439,11916
7100,0.10621,0,1.6437,12677
7150,0.10595,0,1.6418,10909
7200,0.10485,0,1.6450,11770
7250,0.10812,0,1.6433,11595
7300,0.10486,0,1.6428,11565
7350,0.10574,0,1.6446,12358
7400,0.10475,0,1.6469,11754
7450,0.10471,0,1.6468,11616
7500,0.10636,0,1.6481,11935
7550,0.10721,0,1.6484,11838
7600,0.10577,0,1.6437,11565
7650,0.10553,0,1.6575,10543
7700,0.10413,0,1.6457,9361
7750,0.10639,0,1.6546,11676
7800,0.10498,0,1.6525,11064
7850,0.10494,0,1.6535,12318
7900,0.10479,0,1.6496,12132
7950,0.10397,0,1.6443,10828
8000,0.10447,0,1.6486,11693
8050,0.10364,0,1.6420,11999
8100,0.10508,0,1.6637,12066
8150,0.10510,0,1.6511,10999
8200,0.10545,0,1.6613,11519
8250,0.10245,0,1.6492,12225
8300,0.10500,0,1.6504,7306
8350,0.10533,0,1.6535,9173
8400,0.10611,0,1.6526,12843
8450,0.10487,0,1.6562,12752
8500,0.10331,0,1.6476,14245
8550,0.10394,0,1.6553,13781
8600,0.10471,0,1.6477,12682
8650,0.10379,0,1.6527,12271
8700,0.10384,0,1.6523,14584
8750,0.10630,0,1.6471,14396
8800,0.10203,0,1.6512,14691
8850,0.10326,0,1.6579,14183
8900,0.10482,0,1.6571,14103
8950,0.10262,0,1.6575,12230
9000,0.10252,0,1.6527,13505
9050,0.10430,0,1.6615,12753
9100,0.10303,0,1.6598,11507
9150,0.10405,0,1.6466,12540
9200,0.10296,0,1.6640,11151
9250,0.10317,0,1.6554,11829
9300,0.10387,0,1.6517,11966
9350,0.10315,0,1.6570,12890
9400,0.10434,0,1.6608,14110
9450,0.10302,0,1.6613,14485
9500,0.10249,0,1.6577,13242
9550,0.10366,0,1.6554,14205
9600,0.10190,0,1.6616,14370
9650,0.10244,0,1.6560,12981
9700,0.10302,0,1.6606,14396
9750,0.10296,0,1.6546,14642
9800,0.10281,0,1.6567,13711
9850,0.10181,0,1.6627,14233
9900,0.10151,0,1.6596,13904
9950,0.10233,0,1.6557,13954
10000,0.10167,0,1.6598,14123
10050,0.10123,0,1.6652,13532
10100,0.10311,0,1.6638,13817
10150,0.10353,0,1.6600,13965
10200,0.10116,0,1.6583,13375
10250,0.10142,0,1.6619,9927
10300,0.10284,0,1.6615,13977
10350,0.10253,0,1.6562,13882
10400,0.10031,0,1.6637,13646
10450,0.10276,0,1.6628,14102
10500,0.10029,0,1.6640,14086
10550,0.10265,0,1.6576,12000
10600,0.10282,0,1.6600,11157
10650,0.10233,0,1.6655,15027
10700,0.10331,0,1.6593,13177
10750,0.10161,0,1.6641,13608
10800,0.10014,0,1.6661,15264
10850,0.10022,0,1.6653,14315
10900,0.10235,0,1.6607,13476
10950,0.10148,0,1.6651,14520
11000,0.10077,0,1.6643,14275
11050,0.10093,0,1.6619,13898
11100,0.10025,0,1.6630,14092
11150,0.09996,0,1.6673,13576
11200,0.10225,0,1.6682,13154
11250,0.10018,0,1.6642,14493
11300,0.10123,0,1.6679,13874
11350,0.10251,0,1.6624,14082
11400,0.10115,0,1.6679,12522
11450,0.10052,0,1.6570,12310
11500,0.10047,0,1.6692,13285
11550,0.10087,0,1.6681,13864
11600,0.10061,0,1.6732,13354
11650,0.10131,0,1.6707,14163
11700,0.10180,0,1.6694,13694
11750,0.10020,0,1.6664,14699
11800,0.10009,0,1.6714,14403
11850,0.09980,0,1.6680,14999
11900,0.10082,0,1.6615,11734
11950,0.09948,0,1.6657,13007
12000,0.10173,0,1.6686,13132
12050,0.10073,0,1.6673,13913
12100,0.10134,0,1.6676,13285
12150,0.10024,0,1.6735,12932
12200,0.10040,0,1.6737,7481
12250,0.10279,0,1.6754,12704
12300,0.10138,0,1.6716,11915
12350,0.09902,0,1.6726,13162
12400,0.10045,0,1.6684,11917
12450,0.10170,0,1.6744,11901
12500,0.09987,0,1.6640,12538
12550,0.09998,0,1.6747,12434
12600,0.09909,0,1.6685,14489
12650,0.09837,0,1.6789,14655
12700,0.10091,0,1.6809,14671
12750,0.10030,0,1.6632,14990
12800,0.09839,0,1.6732,14163
12850,0.10027,0,1.6688,14863
12900,0.10102,0,1.6752,14087
12950,0.10063,0,1.6675,15467
13000,0.10074,0,1.6678,14826
13050,0.10085,0,1.6716,14270
13100,0.10009,0,1.6733,15190
13150,0.09843,0,1.6713,13723
13200,0.09963,0,1.6694,15284
13250,0.09943,0,1.6720,13948
13300,0.09910,0,1.6656,14348
13350,0.09978,0,1.6614,14051
13400,0.10001,0,1.6614,13063
13450,0.09991,0,1.6725,14523
13500,0.09868,0,1.6728,14238
13550,0.10106,0,1.6650,14839
13600,0.09949,0,1.6788,14153
13650,0.09957,0,1.6694,13976
13700,0.10077,0,1.6726,14390
13750,0.09917,0,1.6720,13653
13800,0.10021,0,1.6784,14205
13850,0.09761,0,1.6807,14270
13900,0.09986,0,1.6770,13985
13950,0.09903,0,1.6683,15054
14000,0.10073,0,1.6763,15066
14050,0.09928,0,1.6758,13715
14100,0.09941,0,1.6654,14135
14150,0.09948,0,1.6765,13899
14200,0.09798,0,1.6696,11051
14250,0.09934,0,1.6753,13532
14300,0.10011,0,1.6662,14110
14350,0.09981,0,1.6687,13382
14400,0.09888,0,1.6773,14661
14450,0.09715,0,1.6696,14765
14500,0.09797,0,1.6743,14667
14550,0.09888,0,1.6737,14128
14600,0.09866,0,1.6686,14293
14650,0.09868,0,1.6739,14641
14700,0.09877,0,1.6794,13630
14750,0.10014,0,1.6758,14156
14800,0.10053,0,1.6758,14569
14850,0.09871,0,1.6769,14742
14900,0.09997,0,1.6690,14444
14950,0.09849,0,1.6738,15215
15000,0.09792,0,1.6726,14464
15050,0.09792,0,1.6713,14555
15100,0.09943,0,1.6716,14301
15150,0.09804,0,1.6717,13867
15200,0.09883,0,1.6741,14314
15250,0.09918,0,1.6745,12593
15300,0.09949,0,1.6778,14038
15350,0.09827,0,1.6771,14681
15400,0.09878,0,1.6788,13822
15450,0.09953,0,1.6775,14899
15500,0.09984,0,1.6741,14477
15550,0.09991,0,1.6780,13991
15600,0.09874,0,1.6727,14475
15650,0.09886,0,1.6829,14895
15700,0.09887,0,1.6798,14290
15750,0.09783,0,1.6713,14382
15800,0.09842,0,1.6746,14264
15850,0.09924,0,1.6732,13494
15900,0.09919,0,1.6677,14781
15950,0.10076,0,1.6715,13678
16000,0.09994,0,1.6719,14109
16050,0.09692,0,1.6727,14135
16100,0.09756,0,1.6814,14366
16150,0.09840,0,1.6724,14481
16200,0.09735,0,1.6816,13701
16250,0.09794,0,1.6755,14472
16300,0.09922,0,1.6724,11115
16350,0.09925,0,1.6737,14355
16400,0.09671,0,1.6805,13712
16450,0.09995,0,1.6776,14297
16500,0.09784,0,1.6822,14391
16550,0.09796,0,1.6814,15105
16600,0.09901,0,1.6813,14080
16650,0.09921,0,1.6713,11364
16700,0.09956,0,1.6819,13381
16750,0.09807,0,1.6778,14935
16800,0.09942,0,1.6757,15376
16850,0.09987,0,1.6752,14647
16900,0.09876,0,1.6786,15109
16950,0.09768,0,1.6867,14524
17000,0.09903,0,1.6726,14738
17050,0.09756,0,1.6806,14600
17100,0.09795,0,1.6749,15069
17150,0.09785,0,1.6851,15033
17200,0.09714,0,1.6818,14522
17250,0.09662,0,1.6772,14321
17300,0.09602,0,1.6842,14451
17350,0.09799,0,1.6798,14410
17400,0.09681,0,1.6787,14671
17450,0.09667,0,1.6777,14197
17500,0.09784,0,1.6864,12566
17550,0.09874,0,1.6804,14251
17600,0.09824,0,1.6774,14019
17650,0.09702,0,1.6784,13265
17700,0.09693,0,1.6804,14143
17750,0.09790,0,1.6727,14368
17800,0.09787,0,1.6707,14097
17850,0.09731,0,1.6750,14176
17900,0.09944,0,1.6833,13852
17950,0.09810,0,1.6872,14920
18000,0.09873,0,1.6876,13881
18050,0.10003,0,1.6796,13896
18100,0.09791,0,1.6772,13868
18150,0.09709,0,1.6820,13777
18200,0.09748,0,1.6924,14234
18250,0.09833,0,1.6696,14129
18300,0.09947,0,1.6803,13119
18350,0.09684,0,1.6801,8912
18400,0.09907,0,1.6768,11618
18450,0.09976,0,1.6754,13006
18500,0.09832,0,1.6832,13546
18550,0.09690,0,1.6804,13658
18600,0.09703,0,1.6780,13345
18650,0.09823,0,1.6733,14338
18700,0.09825,0,1.6783,15160
18750,0.09566,0,1.6829,14648
18800,0.09911,0,1.6729,14646
18850,0.09960,0,1.6735,14818
18900,0.09929,0,1.6759,12505
18950,0.09762,0,1.6820,14310
19000,0.09666,0,1.6772,13364
19050,0.09874,0,1.6808,13770
19100,0.09742,0,1.6758,14431
19150,0.09758,0,1.6727,14057
19200,0.09959,0,1.6849,14013
19250,0.09862,0,1.6780,14358
19300,0.09824,0,1.6745,14419
19350,0.09659,0,1.6746,14586
19400,0.09623,0,1.6806,14729
19450,0.09851,0,1.6729,12098
19500,0.09637,0,1.6708,13150
19550,0.09871,0,1.6760,13222
19600,0.09625,0,1.6729,13792
19650,0.09815,0,1.6777,14313
19700,0.09741,0,1.6687,14083
19750,0.09621,0,1.6777,12313
19800,0.09800,0,1.6856,14563
19850,0.09888,0,1.6761,15034
19900,0.09566,0,1.6789,14188
19950,0.09870,0,1.6698,14730
20000,0.09763,0,1.6784,15070
